id,date,type,area,title
1,2024-02-16,Documentation,churn_reduction,Contribution #1
2,2024-06-03,SQL query,churn_reduction,Contribution #2
3,2024-06-03,SQL query,ops_efficiency,Contribution #3
4,2024-08-29,ETL fix,frameworks,Contribution #4
5,2024-07-17,ETL fix,frameworks,Contribution #5
6,2024-06-11,RCA,templates,Contribution #6
7,2024-01-21,Design review,pricing_optimization,Contribution #7
8,2024-04-28,ETL fix,pricing_optimization,Contribution #8
9,2024-08-25,Documentation,pricing_optimization,Contribution #9
10,2024-07-12,Documentation,pricing_optimization,Contribution #10
11,2024-09-14,RCA,churn_reduction,Contribution #11
12,2024-04-26,Documentation,frameworks,Contribution #12
13,2024-03-28,Design review,ops_efficiency,Contribution #13
14,2024-01-05,SQL query,frameworks,Contribution #14
15,2024-06-07,Experiment analysis,ops_efficiency,Contribution #15
16,2024-04-13,Documentation,frameworks,Contribution #16
17,2024-03-30,Dashboard update,churn_reduction,Contribution #17
18,2024-06-07,ETL fix,churn_reduction,Contribution #18
19,2024-08-13,Documentation,ops_efficiency,Contribution #19
20,2024-03-07,RCA,frameworks,Contribution #20
21,2024-02-24,RCA,pricing_optimization,Contribution #21
22,2024-05-10,Bug fix,ops_efficiency,Contribution #22
23,2024-06-01,Experiment analysis,ops_efficiency,Contribution #23
24,2024-03-05,SQL query,templates,Contribution #24
25,2024-07-31,Data model change,frameworks,Contribution #25
26,2024-09-06,SQL query,frameworks,Contribution #26
27,2024-05-14,ETL fix,ops_efficiency,Contribution #27
28,2024-03-04,Design review,churn_reduction,Contribution #28
29,2024-07-19,ETL fix,frameworks,Contribution #29
30,2024-08-29,Stakeholder update,churn_reduction,Contribution #30
31,2024-05-21,Bug fix,churn_reduction,Contribution #31
32,2024-06-30,RCA,ops_efficiency,Contribution #32
33,2024-06-29,ETL fix,pricing_optimization,Contribution #33
34,2024-01-19,Experiment analysis,churn_reduction,Contribution #34
35,2024-09-07,Experiment analysis,frameworks,Contribution #35
36,2024-09-28,Design review,templates,Contribution #36
37,2024-07-26,Design review,frameworks,Contribution #37
38,2024-04-16,Documentation,churn_reduction,Contribution #38
39,2024-10-03,Documentation,ops_efficiency,Contribution #39
40,2024-08-16,Stakeholder update,frameworks,Contribution #40
41,2024-01-06,Bug fix,templates,Contribution #41
42,2024-02-20,Stakeholder update,templates,Contribution #42
43,2024-05-10,Dashboard update,frameworks,Contribution #43
44,2024-04-18,RCA,pricing_optimization,Contribution #44
45,2024-08-04,Documentation,ops_efficiency,Contribution #45
46,2024-04-15,ETL fix,pricing_optimization,Contribution #46
47,2024-04-23,Data model change,templates,Contribution #47
48,2024-08-31,Stakeholder update,churn_reduction,Contribution #48
49,2024-08-05,Bug fix,ops_efficiency,Contribution #49
50,2024-08-12,Design review,pricing_optimization,Contribution #50
51,2024-08-06,Experiment analysis,frameworks,Contribution #51
52,2024-07-20,Experiment analysis,pricing_optimization,Contribution #52
53,2024-01-29,Dashboard update,frameworks,Contribution #53
54,2024-03-16,Bug fix,pricing_optimization,Contribution #54
55,2024-10-01,Bug fix,ops_efficiency,Contribution #55
56,2024-07-05,Bug fix,templates,Contribution #56
57,2024-02-05,RCA,templates,Contribution #57
58,2024-05-03,Bug fix,templates,Contribution #58
59,2024-08-16,SQL query,pricing_optimization,Contribution #59
60,2024-07-01,RCA,pricing_optimization,Contribution #60
61,2024-07-28,ETL fix,churn_reduction,Contribution #61
62,2024-05-13,Dashboard update,churn_reduction,Contribution #62
63,2024-05-26,ETL fix,templates,Contribution #63
64,2024-09-13,Design review,templates,Contribution #64
65,2024-02-02,RCA,frameworks,Contribution #65
66,2024-01-12,Experiment analysis,pricing_optimization,Contribution #66
67,2024-09-21,Stakeholder update,pricing_optimization,Contribution #67
68,2024-01-21,Design review,pricing_optimization,Contribution #68
69,2024-04-29,Dashboard update,pricing_optimization,Contribution #69
70,2024-09-03,Data model change,ops_efficiency,Contribution #70
71,2024-01-15,SQL query,frameworks,Contribution #71
72,2024-02-02,ETL fix,churn_reduction,Contribution #72
73,2024-09-06,RCA,pricing_optimization,Contribution #73
74,2024-06-19,RCA,pricing_optimization,Contribution #74
75,2024-02-06,Bug fix,pricing_optimization,Contribution #75
76,2024-02-23,Data model change,ops_efficiency,Contribution #76
77,2024-05-29,Documentation,templates,Contribution #77
78,2024-07-21,Bug fix,churn_reduction,Contribution #78
79,2024-03-13,Experiment analysis,frameworks,Contribution #79
80,2024-06-27,Data model change,pricing_optimization,Contribution #80
81,2024-03-08,Design review,frameworks,Contribution #81
82,2024-09-28,Experiment analysis,pricing_optimization,Contribution #82
83,2024-01-25,Stakeholder update,templates,Contribution #83
84,2024-06-15,Data model change,ops_efficiency,Contribution #84
85,2024-05-16,Stakeholder update,ops_efficiency,Contribution #85
86,2024-09-01,SQL query,ops_efficiency,Contribution #86
87,2024-04-28,SQL query,templates,Contribution #87
88,2024-02-19,Dashboard update,ops_efficiency,Contribution #88
89,2024-01-04,Data model change,frameworks,Contribution #89
90,2024-09-24,ETL fix,churn_reduction,Contribution #90
91,2024-07-27,SQL query,ops_efficiency,Contribution #91
92,2024-02-16,ETL fix,churn_reduction,Contribution #92
93,2024-01-10,Bug fix,ops_efficiency,Contribution #93
94,2024-01-02,RCA,templates,Contribution #94
95,2024-08-29,Bug fix,ops_efficiency,Contribution #95
96,2024-04-15,Documentation,churn_reduction,Contribution #96
97,2024-04-12,Experiment analysis,frameworks,Contribution #97
98,2024-10-07,ETL fix,ops_efficiency,Contribution #98
99,2024-09-16,SQL query,templates,Contribution #99
100,2024-01-09,Experiment analysis,frameworks,Contribution #100
101,2024-09-18,Stakeholder update,churn_reduction,Contribution #101
102,2024-01-04,Design review,ops_efficiency,Contribution #102
103,2024-06-01,Bug fix,frameworks,Contribution #103
104,2024-05-21,SQL query,templates,Contribution #104
105,2024-03-14,Design review,ops_efficiency,Contribution #105
106,2024-05-30,Experiment analysis,churn_reduction,Contribution #106
107,2024-02-08,Design review,pricing_optimization,Contribution #107
108,2024-02-19,Data model change,templates,Contribution #108
109,2024-03-09,RCA,ops_efficiency,Contribution #109
110,2024-03-09,Experiment analysis,frameworks,Contribution #110
111,2024-05-31,Documentation,frameworks,Contribution #111
112,2024-07-16,ETL fix,ops_efficiency,Contribution #112
113,2024-05-18,Data model change,frameworks,Contribution #113
114,2024-01-20,Design review,frameworks,Contribution #114
115,2024-02-29,ETL fix,ops_efficiency,Contribution #115
116,2024-05-10,SQL query,templates,Contribution #116
117,2024-06-17,ETL fix,churn_reduction,Contribution #117
118,2024-06-28,Dashboard update,ops_efficiency,Contribution #118
119,2024-06-01,Experiment analysis,churn_reduction,Contribution #119
120,2024-04-10,Design review,ops_efficiency,Contribution #120
121,2024-09-25,SQL query,templates,Contribution #121
122,2024-02-08,Documentation,frameworks,Contribution #122
123,2024-03-09,Design review,frameworks,Contribution #123
124,2024-05-19,Experiment analysis,templates,Contribution #124
125,2024-08-03,Data model change,ops_efficiency,Contribution #125
126,2024-08-05,RCA,templates,Contribution #126
127,2024-05-28,RCA,templates,Contribution #127
128,2024-06-10,SQL query,templates,Contribution #128
129,2024-04-20,RCA,frameworks,Contribution #129
130,2024-01-21,Data model change,ops_efficiency,Contribution #130
131,2024-08-19,Data model change,templates,Contribution #131
132,2024-01-26,Stakeholder update,churn_reduction,Contribution #132
133,2024-03-04,Experiment analysis,churn_reduction,Contribution #133
134,2024-02-20,Stakeholder update,pricing_optimization,Contribution #134
135,2024-03-27,Design review,churn_reduction,Contribution #135
136,2024-06-18,ETL fix,templates,Contribution #136
137,2024-03-08,Stakeholder update,templates,Contribution #137
138,2024-09-23,Design review,churn_reduction,Contribution #138
139,2024-07-24,Experiment analysis,ops_efficiency,Contribution #139
140,2024-02-20,Design review,templates,Contribution #140
141,2024-04-01,Documentation,ops_efficiency,Contribution #141
142,2024-06-16,Stakeholder update,ops_efficiency,Contribution #142
143,2024-05-03,Stakeholder update,ops_efficiency,Contribution #143
144,2024-03-28,Documentation,frameworks,Contribution #144
145,2024-01-07,Documentation,ops_efficiency,Contribution #145
146,2024-04-03,RCA,ops_efficiency,Contribution #146
147,2024-07-14,Experiment analysis,ops_efficiency,Contribution #147
148,2024-04-06,RCA,ops_efficiency,Contribution #148
149,2024-03-22,ETL fix,pricing_optimization,Contribution #149
150,2024-07-08,Experiment analysis,templates,Contribution #150
151,2024-06-27,Data model change,pricing_optimization,Contribution #151
152,2024-03-31,Design review,frameworks,Contribution #152
153,2024-10-04,RCA,templates,Contribution #153
154,2024-05-07,SQL query,templates,Contribution #154
155,2024-07-12,Documentation,ops_efficiency,Contribution #155
156,2024-06-04,Dashboard update,ops_efficiency,Contribution #156
157,2024-01-01,Dashboard update,templates,Contribution #157
158,2024-04-17,Dashboard update,churn_reduction,Contribution #158
159,2024-05-21,Dashboard update,pricing_optimization,Contribution #159
160,2024-07-20,ETL fix,churn_reduction,Contribution #160
161,2024-02-24,Bug fix,frameworks,Contribution #161
162,2024-05-04,Stakeholder update,pricing_optimization,Contribution #162
163,2024-03-31,Design review,churn_reduction,Contribution #163
164,2024-07-09,Data model change,frameworks,Contribution #164
165,2024-02-15,Data model change,pricing_optimization,Contribution #165
166,2024-04-29,Dashboard update,frameworks,Contribution #166
167,2024-02-17,SQL query,frameworks,Contribution #167
